#,Name,Difficult,Priority,Status,Tags,link,source,Last edited time,Created time,practicedTimes,related
1443,Minimum Time to Collect All Apples in a Tree,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:45 PM",,
1373,Maximum Sum BST in Binary Tree,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:46 PM",,
1339,Maximum Product of Splitted Binary Tree,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:46 PM",,
1305,All Elements in Two Binary Search Trees,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:46 PM",,
116,Populating Next Right Pointers in Each Node,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:46 PM",,
1110,Delete Nodes And Return Forest,Medium,Medium,More Solution,"Array, BFS, DFS, Hash, Tree",https://leetcode.com/problems/delete-nodes-and-return-forest/description/,"HuaHua, facebookFreq","December 8, 2023 6:04 PM","June 27, 2023 11:47 PM",,
979,Distribute Coins in Binary Tree,Medium,High,,"DFS, Greedy, Tree",https://leetcode.com/problems/distribute-coins-in-binary-tree/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:47 PM",,Binary Tree Cameras (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Binary%20Tree%20Cameras%200a1832b41abe4e978c255a5862f62f3d.csv)
894,All Possible Full Binary Trees,,,new,"DP, Tree",,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:47 PM",,
889,Construct Binary Tree from Preorder and Postorder Traversal,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:47 PM",,
865,Smallest Subtree with all the Deepest Nodes,Medium,Low,More Solution,"BFS, DFS, Hash, Tree",https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,"HuaHua, facebookFreq","December 8, 2023 5:47 PM","June 27, 2023 11:48 PM",,
863,All Nodes Distance K in Binary Tree,Medium,Medium,More Solution,"BFS, Graph, Tree",https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","June 27, 2023 11:48 PM",,
823,Binary Trees With Factors,Medium,Medium,,"Array, Hash, Sort, dp-TimeSeqFromLastX",https://leetcode.com/problems/binary-trees-with-factors/,"HuaHua, leetcode_daily","October 28, 2023 1:51 AM","June 27, 2023 11:48 PM",,
486,Predict the Winner,Medium,Medium,dup,"Array, Game, Math, dp-Pyr, recursion",https://leetcode.com/problems/predict-the-winner/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","June 27, 2023 11:48 PM",,[lint] Coins in a Line III (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/%5Blint%5D%20Coins%20in%20a%20Line%20III%20ca032d1ba7824932a460032404a65113.csv)
652,Find Duplicate Subtrees,Medium,Medium,More Solution,"DFS, Hash, Tree",https://leetcode.com/problems/find-duplicate-subtrees/description/,"HuaHua, googleFreq","December 24, 2023 1:38 AM","June 27, 2023 11:49 PM",,
742,Closest Leaf in a Binary Tree,,,new,"Graph, Tree",,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:49 PM",,
449,Serialize and Deserialize BST,Medium,Medium,No Idea At First,"BFS, BST, DFS, Design, Tree, string",https://leetcode.com/problems/serialize-and-deserialize-bst/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:50 PM",,Serialize and Deserialize Binary Tree (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Serialize%20and%20Deserialize%20Binary%20Tree%208f74639ba00b413a9bfdce6d698e922b.csv)
685,Redundant Connection II,Hard,High,No Idea At First,"Graph, TopSorting, Tree, Union Find",https://leetcode.com/problems/redundant-connection-ii/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:50 PM",,
687,Diameter of Binary Tree,Medium,Medium,,"DFS, Tree",https://leetcode.com/problems/longest-univalue-path/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:51 PM",,"Diameter of Binary Tree (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20a3c0379b41174057a7e2a11333f8d905.csv), Binary Tree Maximum Path Sum (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Binary%20Tree%20Maximum%20Path%20Sum%20f544ed88691540c5af96eba3bb262c14.csv)"
543,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,Low,,"DFS, Tree",https://leetcode.com/problems/diameter-of-binary-tree/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:51 PM",,"Binary Tree Maximum Path Sum (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Binary%20Tree%20Maximum%20Path%20Sum%20f544ed88691540c5af96eba3bb262c14.csv), Diameter of Binary Tree (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20f378c6013a184759bf96c2149bbdfb93.csv)"
690,Employee Importance,Medium,Pass,,"BFS, DFS, Hash, Tree",https://leetcode.com/problems/employee-importance/,"HuaHua, googleFreq","December 24, 2023 5:19 PM","June 27, 2023 11:51 PM",,
684,Redundant Connection,Medium,Medium,"Dig More, More Solution, toSummarize","BFS, DFS, Graph, TopSorting, Tree, Union Find, circle",https://leetcode.com/problems/redundant-connection/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:52 PM",,Find Eventual Safe States (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Eventual%20Safe%20States%20293c6aca02624510871109460053e10e.csv)
332,Reconstruct Itinerary,Hard,High,"Dig More, No Idea At First, todo","DFS, EulerianPath, Graph",https://leetcode.com/problems/reconstruct-itinerary/,HuaHua,"October 17, 2023 6:28 PM","June 27, 2023 11:53 PM",,
669,Trim a Binary Search Tree,Medium,Low,More Solution,"BFS, BST, DFS, Tree",https://leetcode.com/problems/trim-a-binary-search-tree/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:53 PM",,
671,Second Minimum Node In a Binary Tree,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:54 PM",,
113,Path Sum II,Medium,Medium,,"BackTracking, DFS, Tree",https://leetcode.com/problems/path-sum-ii/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:54 PM",,
606,Construct String from Binary Tree,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:55 PM",,
617,Merge Two Binary Trees,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:55 PM",,
404,Sum of Left Leaves,,,new,Tree,,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:55 PM",,
842,Split Array into Fibonacci Sequence,Medium,Medium,HardToImplement,"BackTracking, string",https://leetcode.com/problems/split-array-into-fibonacci-sequence/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:58 PM",,Restore IP Addresses (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Restore%20IP%20Addresses%203057ceef44684b889cde126e95923fb2.csv)
282,Expression Add Operators,Hard,High,"Dig More, HardToImplement","BackTracking, Math, string",https://leetcode.com/problems/expression-add-operators/description/,HuaHua,"October 12, 2023 2:56 PM","June 27, 2023 11:59 PM",,
758,Bold Words in String,,,new,string,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:00 AM",,
301,Remove Invalid Parentheses,Hard,High,"More Solution, No Idea At First","BFS, BackTracking, string",https://leetcode.com/problems/remove-invalid-parentheses/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:00 AM",,
639,Decode Ways II,,,new,"DP, string",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:01 AM",,
488,Zuma Game,,,new,"search, string",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:02 AM",,
678,Valid Parenthesis String,Medium,High,"Dig More, No Idea At First, toRevisit","DP, Greedy, stack, string",https://leetcode.com/problems/valid-parenthesis-string/,"HuaHua, microsoftFreq","December 14, 2023 7:52 PM","June 28, 2023 12:02 AM",,Check if There is a Path With Equal Number of 0's And 1's (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Check%20if%20There%20is%20a%20Path%20With%20Equal%20Number%20of%200's%20%20a4ab620b2b9e4f19ad40a43846d02ff0.csv)
680,Valid Palindrome II,,,new,string,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:03 AM",,
1659,Maximize Grid Happiness,,,new,"DP, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:07 AM",,
1593,Split a String Into the Max Number of Unique Substrings,,,new,search,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:07 AM",,
1553,Minimum Number of Days to Eat N Oranges,,,new,"DP, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:07 AM",,
1377,Frog Position After T Seconds,,,new,"Graph, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:08 AM",,
1368,Minimum Cost to Make at Least One Valid Path in a Grid,,,new,"DP, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:08 AM",,
1298,Maximum Candies You Can Get from Boxes,Hard,High,"Dig More, HardToImplement, checkBetterSolution, toRevisit","Array, BFS, Graph, simulation",https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes/,HuaHua,"October 17, 2023 6:24 PM","June 28, 2023 12:08 AM",,
1263,Minimum Moves to Move a Box to Their Target Location,Hard,High,HardToImplement,"BFS, Graph, Matrix",https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:09 AM",,
417,Pacific Atlantic Water Flow,,,new,"DP, Graph, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:10 AM",,
980,Unique Paths III,Hard,High,"CalcuComplexity, Dig More, More Solution, toRevisit, toSummarize","Array, BackTracking, Bit Manipulation, DFS, DP, Graph, Matrix, TSP/HamiltonianPath, search",https://leetcode.com/problems/unique-paths-iii/description/,HuaHua,"October 17, 2023 6:24 PM","June 28, 2023 12:10 AM",,
964,Least Operators to Express Number,,,new,"DP, Graph, search",,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:10 AM",,
801,Minimum Swaps To Make Sequences Increasing,Hard,Medium,,"Array, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:11 AM",,
815,Bus Routes,Hard,Medium,,"Array, BFS, Graph, Hash",https://leetcode.com/problems/bus-routes/description/,"HuaHua, ticktokFreq","November 17, 2023 1:26 AM","June 28, 2023 12:11 AM",1,
787,Cheapest Flights Within K Stops,Medium,High,"CalcuComplexity, Dig More, More Solution, toSummarize","BFS, BellmanFord, DFS, DP, Dijkstra, Graph, PQ, shortest_path",https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:12 AM",,
773,Sliding Puzzle,,,new,search,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:12 AM",,
753,Cracking the Safe,,,new,search,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:13 AM",,
752,Open the Lock,Medium,Medium,HardToImplement,"Array, BFS, Hash, string",https://leetcode.com/problems/open-the-lock/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:13 AM",,
733,Flood Fill,Easy,Pass,,"BFS, Connected_Component, DFS, Graph, Matrix",https://leetcode.com/problems/flood-fill/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:13 AM",,
216,Combination Sum III,Medium,Low,,"Array, BackTracking, search",https://leetcode.com/problems/combination-sum-iii,"HuaHua, LC_75","October 12, 2023 2:56 PM","June 28, 2023 12:14 AM",,
37,Sudoku Solver,Hard,Medium,HardToImplement,"BackTracking, DFS, Hash, Matrix",https://leetcode.com/problems/sudoku-solver/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:14 AM",,
2662,Minimum Cost of a Path With Special Roads,,,new,Graph,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:20 AM",,
1061,Lexicographically Smallest Equivalent String,,,new,Graph,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:20 AM",,
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,Medium,Low,More Solution,"BFS, DFS, Graph, Union Find",https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/description/,"HuaHua, googleFreq","December 23, 2023 11:49 PM","June 28, 2023 12:21 AM",,
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,,,new,Graph,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:22 AM",,
1334,Find the City With the Smallest Number of Neighbors,Medium,Medium,"More Solution, checkBetterSolution, toRevisit","BellmanFord, DP, Dijkstra, Floyd, Graph, SPFA, shortest_path",https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:22 AM",,
1319,Number of Operations to Make Network Connected,Medium,Low,,"BFS, DFS, Graph, Union Find",https://leetcode.com/problems/number-of-operations-to-make-network-connected/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:22 AM",,
1202,Smallest String With Swaps,Medium,Low,No Idea At First,"BFS, Connected_Component, DFS, Graph, Hash, Union Find, string",https://leetcode.com/problems/smallest-string-with-swaps/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:23 AM",,
1129,Shortest Path with Alternating Colors,Medium,Medium,,"BFS, Graph",https://leetcode.com/problems/shortest-path-with-alternating-colors/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:23 AM",,
959,Regions Cut By Slashes,Medium,Medium,checkBetterSolution,"Array, BFS, DFS, Graph, Hash, Matrix, Union Find, string",https://leetcode.com/problems/regions-cut-by-slashes/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:24 AM",,
952,Largest Component Size by Common Factor,Hard,Medium,checkBetterSolution,"Array, Graph, Math, PrimeFactor, Union Find",https://leetcode.com/problems/largest-component-size-by-common-factor/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:24 AM",,
886,Possible Bipartition,Medium,High,"More Solution, No Idea At First, toSummarize","BFS, Bipartition_graphColoring, Graph",https://leetcode.com/problems/possible-bipartition/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:24 AM",,"Is Graph Bipartite? (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Is%20Graph%20Bipartite%2045c1135455a441f6b56570aee649ac62.csv), Flower Planting With No Adjacent (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Flower%20Planting%20With%20No%20Adjacent%20fee61ff1b1164d9eb2b6922355e3e5d8.csv)"
882,Reachable Nodes In Subdivided Graph,Hard,High,"HardToImplement, No Idea At First","Dijkstra, Graph, PQ",https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:24 AM",,
841,Keys and Rooms,Medium,Low,,"BFS, DFS, Graph",https://leetcode.com/problems/keys-and-rooms,"HuaHua, LC_75","October 12, 2023 2:56 PM","June 28, 2023 12:25 AM",,
827,Making A Large Island,Hard,Medium,No Idea At First,"BFS, Connected_Component, DFS, Graph, Matrix, Union Find",https://leetcode.com/problems/making-a-large-island/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:25 AM",,Max Area of Island (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Max%20Area%20of%20Island%2023b2df13e6a949bcbaaaf6a435d51854.csv)
802,Find Eventual Safe States,Medium,High,"Dig More, More Solution, toRevisit","BFS, DFS, Graph, TopSorting, circle",https://leetcode.com/problems/find-eventual-safe-states,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","June 28, 2023 12:26 AM",,Redundant Connection (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Redundant%20Connection%20d086eb24857845eab1a299fc8077f228.csv)
743,Network Delay Time,Medium,Low,,"Dijkstra, Graph, shortest_path",https://leetcode.com/problems/network-delay-time/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:26 AM",,
737,Sentence Similarity II,Medium,Low,,"Array, BFS, DFS, Graph, Hash, Union Find, string",https://leetcode.com/problems/sentence-similarity-ii/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:27 AM",,
1696,Jump Game VI,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:30 AM",,
1690,Stone Game VII,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:30 AM",,
1681,Minimum Incompatibility,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:31 AM",,
1595,Minimum Cost to Connect Two Groups of Points,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:32 AM",,
1563,Stone Game V,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:32 AM",,
1531,String Compression II,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:33 AM",,
1524,Number of Sub,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:34 AM",,
1473,Paint House III,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:34 AM",,
1463,Cherry Pickup II,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:34 AM",,
1458,Max Dot Product of Two Subsequences,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:35 AM",,
1449,Form Largest Integer With Digits That Add up to Target,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:35 AM",,
1444,Number of Ways of Cutting a Pizza,Hard,High,"CalcuComplexity, HardToImplement, More Solution, No Idea At First, checkBetterSolution","DP, Matrix, Prefix",https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza,"HuaHua, ticktokFreq","November 17, 2023 5:54 PM","June 28, 2023 12:35 AM",1,
1425,Constrained Subset Sum,Hard,High,"HardToImplement, No Idea At First","Array, Sliding Window, deque, dp-TimeSeqFromLastX, monotonic",https://leetcode.com/problems/constrained-subsequence-sum/,"HuaHua, leetcode_daily","October 21, 2023 1:02 AM","June 28, 2023 12:35 AM",,
1416,Restore The Array,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:35 AM",,
1340,Jump Game V,,,new,DP,,HuaHua,"December 8, 2023 3:54 PM","June 28, 2023 12:37 AM",,
1320,Minimum Distance to Type a Word Using Two Fingers,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:38 AM",,
1310,XOR Queries of a Subarray,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:38 AM",,
1301,Number of Paths with Max Score,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:41 AM",,
1220,Count Vowels Permutation,Hard,Low,,"Graph, dp-TimeSeqFromLastOne-Power, dp-bfs-stepByStep",https://leetcode.com/problems/count-vowels-permutation/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:42 AM",,"Knight Dialer (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Knight%20Dialer%20ad2dc741f775475aadc6ce3fa768f12f.csv), Number of Ways to Stay in the Same Place After Some Steps (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Ways%20to%20Stay%20in%20the%20Same%20Place%20After%20Som%2091772bfb41a84c87b0a4d56f1f7f74bd.csv)"
1191,https://leetcode.com/problems/k-concatenation-maximum-sum/,Medium,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:42 AM",,
1155,Number of Dice Rolls With Target Sum,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:43 AM",,
1043,Partition Array for Maximum Sum,Medium,Low,,"Array, dp-Pyr, dp-TimeSeqFromLastX",https://leetcode.com/problems/partition-array-for-maximum-sum/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:44 AM",,
1024,Video Stitching,Medium,Medium,More Solution,"Array, DP, Greedy, Interval",https://leetcode.com/problems/video-stitching/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:44 AM",,Minimum Number of Taps to Open to Water a Garden (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Number%20of%20Taps%20to%20Open%20to%20Water%20a%20Garden%20e739aa4e5e1e47348c15083afa0e06ca.csv)
935,Knight Dialer,Medium,Low,toSummarize,"Graph, Matrix, dp-TimeSeqFromLastOne-Power, dp-bfs-stepByStep",https://leetcode.com/problems/knight-dialer/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:45 AM",,"Count Vowels Permutation (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Count%20Vowels%20Permutation%20dda110cbbdd045dcb165eceb07f72d7b.csv), Number of Ways to Stay in the Same Place After Some Steps (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Ways%20to%20Stay%20in%20the%20Same%20Place%20After%20Som%2091772bfb41a84c87b0a4d56f1f7f74bd.csv)"
926,Flip String to Monotone Increasing,,,new,DP,,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:46 AM",,
901,Online Stock Span,Medium,High,"Dig More, HardToImplement, More Solution","DP, Data_stream, Design, monotonic, stack",https://leetcode.com/problems/online-stock-span/,"HuaHua, LC_75","October 12, 2023 2:56 PM","June 28, 2023 12:46 AM",,
576,Out of Boundary Paths,Medium,Low,,"DFS, DP, Matrix, recursion",https://leetcode.com/problems/out-of-boundary-paths/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:48 AM",,
790,Domino and Tromino Tiling,Medium,High,"Dig More, More Solution, No Idea At First",DP,https://leetcode.com/problems/domino-and-tromino-tiling,"HuaHua, LC_75","October 12, 2023 2:56 PM","June 28, 2023 12:50 AM",,
416,Partition Equal Subset Sum,Medium,Low,,"Array, dp-backpack",https://leetcode.com/problems/partition-equal-subset-sum/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:51 AM",,
377,Combination Sum IV,Medium,Medium,More Solution,"Array, DP, recursion",https://leetcode.com/problems/combination-sum-iv/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:51 AM",,
741,Cherry Pickup,Hard,High,"Dig More, More Solution, No Idea At First","DP, Matrix, matrix-diagTraverse",https://leetcode.com/problems/cherry-pickup/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:52 AM",,
730,Count Different Palindromic Subsequences,Hard,,new,DP,,HuaHua,"October 17, 2023 10:43 PM","June 28, 2023 12:52 AM",,
724,Find Pivot Index,Easy,Pass,,"DP, Prefix",https://leetcode.com/problems/find-pivot-index,"HuaHua, LC_75","October 12, 2023 2:56 PM","June 28, 2023 12:53 AM",,
664,Strange Printer,Hard,High,"Dig More, More Solution, No Idea At First, NotUnderstand, toSummarize","dp-Pyr, dp-状态转移不仅依赖前一项, string",https://leetcode.com/problems/strange-printer/description/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","June 28, 2023 12:54 AM",,
304,Range Sum Query 2D,Medium,Low,,"Design, Matrix, Prefix",https://leetcode.com/problems/range-sum-query-2d-immutable/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:54 AM",,
140,Word Break II,Hard,Medium,,"Array, BackTracking, DP, Hash, Trie, string",https://leetcode.com/problems/word-break-ii/description/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:55 AM",,
303,Range Sum Query,Easy,Pass,,"Array, Design, Prefix",https://leetcode.com/problems/range-sum-query-immutable/,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:56 AM",,
174,Dungeon Game,Hard,High,"Dig More, No Idea At First, toSummarize","DP, Matrix",https://leetcode.com/problems/dungeon-game,HuaHua,"October 12, 2023 2:56 PM","June 28, 2023 12:56 AM",,Minimum Path Sum (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Path%20Sum%2068f85679b4e84abcb6c133e72ed6b811.csv)
250,Count Univalue Subtrees,Medium,Medium,HardToImplement,"DFS, Divide and Conquer, Tree",https://leetcode.com/problems/count-univalue-subtrees/description/,leetcode_daily,"October 12, 2023 2:56 PM","June 28, 2023 5:26 PM",,
864,Shortest Path to Get All Keys,Hard,High,"HardToImplement, toSummarize","Array, BFS, Bit Manipulation, Graph, Math, visiting_all_nodes_with_dup",https://leetcode.com/problems/shortest-path-to-get-all-keys/description/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","June 28, 2023 8:05 PM",,Shortest Path Visiting All Nodes (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Shortest%20Path%20Visiting%20All%20Nodes%206756cebd582341eca7d2fd9d8da8c95c.csv)
445,Add Two Numbers II,Medium,Medium,HardToImplement,"LinkedList, Math, stack",https://leetcode.com/problems/add-two-numbers-ii/description/,HuaHua,"October 12, 2023 2:56 PM","June 29, 2023 3:29 PM",,
24,Swap Nodes in Pairs,Medium,Low,,"LinkedList, recursion",https://leetcode.com/problems/swap-nodes-in-pairs/description/,HuaHua,"October 12, 2023 2:56 PM","June 29, 2023 3:54 PM",,
147,Insertion Sort List,Medium,Medium,HardToImplement,"LinkedList, Sort",https://leetcode.com/problems/insertion-sort-list/,HuaHua,"October 12, 2023 2:56 PM","June 29, 2023 4:12 PM",,
1970,Last Day Where You Can Still Cross,Hard,High,No Idea At First,"Array, BFS, BS_Idx, Matrix, Union Find",https://leetcode.com/problems/last-day-where-you-can-still-cross/description/,leetcode_daily,"October 12, 2023 2:56 PM","June 29, 2023 9:53 PM",,
981,Time Based Key-Value Store,Medium,Low,,"BS_Idx, Design, Hash, string",https://leetcode.com/problems/time-based-key-value-store/description/,HuaHua,"October 12, 2023 2:56 PM","June 29, 2023 11:14 PM",,
2305,Fair Distribution of Cookies,Medium,High,"More Solution, No Idea At First, toSummarize",dp-K_Ranges,https://leetcode.com/problems/fair-distribution-of-cookies/,leetcode_daily,"October 12, 2023 2:56 PM","June 30, 2023 5:19 PM",,Find Minimum Time to Finish All Jobs (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20Time%20to%20Finish%20All%20Jobs%20b2d99b7f76c0452fb9cf90a59c8171b2.csv)
465,Optimal Account Balancing,Hard,High,"Dig More, More Solution, No Idea At First","Array, BackTracking, Bit Manipulation, BitMask, DP",https://leetcode.com/problems/optimal-account-balancing/,leetcode_daily,"October 12, 2023 2:56 PM","June 30, 2023 5:28 PM",,
1768,Merge Strings Alternately,Easy,Pass,,"2pt, string",https://leetcode.com/problems/merge-strings-alternately,LC_75,"October 12, 2023 2:56 PM","July 1, 2023 11:23 PM",,
1071,Greatest Common Divisor of Strings,Easy,High,"More Solution, No Idea At First","Math, string",https://leetcode.com/problems/greatest-common-divisor-of-strings/description/,LC_75,"October 12, 2023 2:56 PM","July 1, 2023 11:42 PM",,
1431,Kids With the Greatest Number of Candies,Easy,Pass,,Array,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,"AmazonFreq, LC_75","November 17, 2023 1:26 AM","July 1, 2023 11:47 PM",1,
605,Can Place Flowers,Easy,High,HardToImplement,"Array, Greedy",https://leetcode.com/problems/can-place-flowers,LC_75,"October 12, 2023 2:56 PM","July 1, 2023 11:54 PM",,
1679,Max Number of K-Sum Pairs,Medium,Low,More Solution,"2pt, Array, Hash, Sort",https://leetcode.com/problems/max-number-of-k-sum-pairs,LC_75,"October 12, 2023 2:56 PM","July 1, 2023 11:58 PM",,
